FUA code,FUA name,FUA-code,X,Y,C_urban woody feature_FUA_%
FR208,Hénin - Carvin,FR207,2.9674201,50.4375992,17.566045952
FR209,Douai,*,3.1155701,50.3344994,17.066598482
FR214,Valence,FR214,4.9342599,44.9006004,34.226886567
FR215,Rouen,FR215,1.05549,49.4803009,29.290882934
FR304,Melun,FR304,2.79545,48.5253983,41.707976030
FR324,Martigues,FR324,4.9753299,43.424099,29.004417835
FR505,Charleville-Mézières,,4.6359301,49.7443008,45.370950768
FR506,Colmar,FR506,7.2986999,48.0868988,49.798815820
FR519,Cannes,*,6.9161201,43.5616989,63.789109490
HR001,Grad Zagreb,HR001,16.0328999,45.8054008,52.837244277
HR002,Rijeka,HR002,14.5115995,45.3614006,82.351111073
HR003,Slavonski Brod,HR003,18.0653992,45.1693993,40.573868093
HR004,Osijek,HR004,18.6112003,45.5405998,25.657539099
HR005,Split,HR005,16.5722008,43.6271019,23.971381309
HR006,Pula - Pola,HR006,13.9169998,44.9606018,57.589871508
HR007,Zadar,HR007,15.4623003,44.1444016,22.097415870
HU001,Budapest,*,19.1728992,47.4622993,31.277217849
HU002,Miskolc,HU002,20.8491001,48.1231995,33.799448223
HU003,Nyíregyháza,HU003,21.7581005,47.9860992,23.950379388
HU004,Pécs,HU004,18.2150002,46.0517998,38.237172520
HU005,Debrecen,HU005,21.7057991,47.5195999,33.111898415
HU006,Szeged,HU006,20.0261002,46.2989006,22.029725430
HU007,Gyõr,HU007,17.6040993,47.5993996,27.104805201
HU008,Kecskemét,HU008,19.6564999,46.884201,30.436202593
HU009,Székesfehérvár,HU009,18.4291992,47.0802994,19.432537950
HU010,Szombathely,HU010,16.6938992,47.1985016,33.712062812
HU011,Szolnok,HU011,20.2411003,47.1693993,11.744884591
HU012,Tatabánya,HU012,18.3311005,47.5517998,44.238563186
HU013,Veszprém,HU013,17.8560009,47.1130981,45.940972406
HU014,Békéscsaba,HU014,21.0258007,46.7066994,8.449634910
HU015,Kaposvár,HU015,17.7903996,46.3875008,34.726180135
HU016,Eger,*,20.3479996,47.9473991,57.457919114
